tiempo,empuje
16:55:48.926,45.043252871414666
16:55:49.929,43.02457820260085
16:55:50.930,118.6341933089198
16:55:51.931,148.43147441981333
16:55:52.938,51.0776698917743
16:55:53.942,16.60123106205968
16:55:54.959,40.85894114627679
16:55:55.970,33.473111370846475
16:55:56.975,52.85225682782518
16:55:57.979,11.175970200074648
16:55:58.983,15.326900740182309
16:55:59.984,24.199137781958317
16:56:00.985,112.82167854503163
16:56:01.987,127.77056043663669
16:56:03.003,83.2848358450167
16:56:04.011,82.6516408676673
