tiempo,empuje
16:55:18.199,63.38254028019911
16:55:19.213,77.55959384214137
16:55:20.216,110.18346460152223
16:55:21.219,87.51960749053474
16:55:22.220,79.89214036438506
16:55:23.229,134.44406182463658
16:55:24.240,121.32268669047274
16:55:25.242,85.00192890722751
16:55:26.247,57.83753097990182
16:55:27.248,96.58895193560149
16:55:28.255,142.355991602924
16:55:29.261,26.60728522541382
16:55:30.264,22.848520550162295
16:55:31.265,11.935705871301144
16:55:32.266,62.459843110413495
16:55:33.266,81.02794375464916
16:55:34.270,85.60687459841608
16:55:35.279,45.847313946454875
